가구원수,취업인원수,가구주_연령,비동거취업미혼자녀수,비동거학업미혼자녀수,비동거기타미혼자녀수,자동차보유대수,월세평가금액,전세보증금,월세사글세,주거용전용면적,주택소유유무,가계지출금액,가계지출_소비지출금액
1,0,55,0,0,0,0,310,3000,300,35,2,1155393,1080393
1,0,55,0,0,0,0,450,0,0,50,1,657851,627201
1,0,55,0,0,0,0,600,30000,0,36,2,864010,764010
1,0,55,0,0,0,0,730,30000,430,64,2,3562152,3195802
1,0,55,1,0,0,0,220,30000,0,40,2,923205,898959
1,0,55,1,0,0,1,300,0,250,40,2,1198717,1133197
1,0,55,1,0,0,1,345,0,0,63,1,1359776,962063
1,0,55,1,0,0,1,87,5000,87,56,2,2268901,1793901
1,0,55,2,0,0,1,500,0,0,84,1,1656694,1252050
1,0,56,0,0,0,0,218,2000,210,50,2,602195,586268
1,0,56,0,0,0,0,260,47000,0,31,2,923340,627030
1,0,56,0,0,0,0,310,0,0,49,2,629622,629622
1,0,56,0,0,0,0,313,5000,300,13,2,1216642,1171175
1,0,56,0,0,0,1,101,41132,101,36,2,1168738,1031728
1,0,56,0,0,0,1,600,0,0,80,1,1325362,1275642
1,0,56,0,1,0,0,400,10000,350,59,2,1550300,1348257
1,0,56,0,1,0,0,486,42500,150,60,2,2205019,1952528
1,0,56,0,2,0,1,600,0,0,85,1,9243893,6859698
1,0,56,1,0,0,0,241,5000,101,36,2,744659,694659
1,0,56,1,0,0,0,400,4020,47,42,2,1006030,1006030
1,0,56,1,0,0,0,600,0,0,85,2,1509187,1509187
1,0,56,2,0,0,0,250,40000,100,49,2,612665,529170
1,0,56,2,0,0,2,500,0,0,95,1,1372665,1311720
1,0,57,0,0,0,0,1250,0,0,87,2,2233736,2151696
1,0,57,0,0,0,0,160,1000,150,13,2,725504,698004
1,0,57,0,0,0,0,205,0,0,58,2,1258524,1029452
1,0,57,0,0,0,0,240,1000,230,27,2,721501,715251
1,0,57,0,0,0,0,250,0,0,56,1,1398777,1080502
1,0,57,0,0,0,0,280,5000,230,39,2,1047448,997448
1,0,57,0,0,0,0,82,12607,69,35,2,1299001,1299001
1,0,57,0,0,0,1,220,2000,200,34,2,1773394,1413671
1,0,57,0,0,0,1,350,55000,66,60,2,908890,885578
1,0,57,0,0,0,1,400,0,0,55,1,551963,404333
1,0,57,0,1,0,0,500,70000,150,59,2,1719238,1486635
1,0,58,0,0,0,0,150,2957,54,30,2,657704,257704
1,0,58,0,0,0,0,250,2000,200,59,2,1392832,1313115
1,0,58,0,0,0,0,250,9111,76,39,2,1023064,918723
1,0,58,0,0,0,0,300,20000,300,85,2,878171,873969
1,0,58,0,0,0,0,339,25000,74,59,2,723278,617078
1,0,58,0,0,0,0,400,10000,350,33,2,810748,810748
1,0,58,0,0,0,0,451,130000,100,40,1,1317782,747107
1,0,58,0,0,0,1,500,0,0,105,1,920057,681527
1,0,58,0,0,0,1,700,1000,650,84,2,1714491,1653896
1,0,58,1,0,0,1,250,9800,170,36,2,2739001,2163985
1,0,58,1,1,0,0,310,1000,300,50,2,1096795,1074988
1,0,58,2,0,0,0,603,5000,583,66,2,8177837,8161170
1,0,58,2,0,0,1,450,25000,144,47,2,1082250,878366
1,0,59,0,0,0,0,114,15000,0,33,2,1494454,1436704
1,0,59,0,0,0,0,122,1205,109,36,2,554942,544942
1,0,59,0,0,0,0,150,35000,0,45,2,500586,465586
1,0,59,0,0,0,0,275,5000,250,56,2,2460759,2460593
1,0,59,0,0,0,0,330,0,0,73,1,1995457,1536445
1,0,59,0,0,0,0,350,7500,0,33,2,1698441,1391881
1,0,59,0,0,0,0,500,0,0,59,1,1233541,978310
1,0,59,0,0,0,1,152,2000,150,90,2,836007,817015
1,0,59,0,0,0,1,230,1000,220,16,1,2787841,2035516
1,0,59,0,0,0,1,300,40000,0,40,2,911685,622004
1,0,59,0,0,0,1,412,85000,0,59,2,816985,728507
1,0,59,0,0,0,1,510,70000,0,55,2,1255322,1039820
1,0,59,1,0,0,0,200,20000,100,50,2,2706598,2494965
1,0,59,1,0,0,1,4000,0,0,198,1,5486732,3013187
1,0,59,2,0,0,0,500,0,0,42,1,1279914,932649
1,0,59,2,0,0,1,600,55000,0,62,2,494670,486670
1,0,60,0,0,0,0,1800,0,0,108,1,2900122,2710122
1,0,60,0,0,0,0,260,20000,180,33,2,1653819,1621536
1,0,60,0,0,0,0,310,5000,300,40,2,882668,850835
1,0,60,0,0,0,0,380,0,0,42,1,617115,438223
1,0,60,0,0,0,0,400,0,0,48,1,2027806,1732166
1,0,60,0,0,0,0,440,0,0,47,1,785656,354906
1,0,60,0,0,0,0,500,35000,0,25,2,1067517,1060433
1,0,60,0,0,0,0,55,0,0,93,2,606433,566233
